zone,did_not_reach,reached,total,did_not_reach_pct,reached_pct,window,pattern_name
x_band_2__center,6,19,25,24.0,76.0,to_40,all
x_band_2__left_inner,14,27,41,34.1,65.9,to_40,all
x_band_2__left_outer,31,34,65,47.7,52.3,to_40,all
x_band_2__right_inner,6,40,46,13.0,87.0,to_40,all
x_band_2__right_outer,15,36,51,29.4,70.6,to_40,all
x_band_3__center,6,8,14,42.9,57.1,to_40,all
x_band_3__left_inner,3,15,18,16.7,83.3,to_40,all
x_band_3__left_outer,4,18,22,18.2,81.8,to_40,all
x_band_3__right_inner,6,6,12,50.0,50.0,to_40,all
x_band_3__right_outer,3,17,20,15.0,85.0,to_40,all
x_band_2__left_inner,1,5,6,16.7,83.3,to_40,other_pattern
x_band_2__left_outer,6,4,10,60.0,40.0,to_40,other_pattern
x_band_2__right_inner,1,1,2,50.0,50.0,to_40,other_pattern
x_band_2__right_outer,3,1,4,75.0,25.0,to_40,other_pattern
x_band_3__left_inner,0,1,1,0.0,100.0,to_40,other_pattern
x_band_2__center,4,4,8,50.0,50.0,to_40,interior_exterior_same_side
x_band_2__left_inner,4,3,7,57.1,42.9,to_40,interior_exterior_same_side
x_band_2__left_outer,16,12,28,57.1,42.9,to_40,interior_exterior_same_side
x_band_2__right_inner,1,15,16,6.2,93.8,to_40,interior_exterior_same_side
x_band_2__right_outer,7,20,27,25.9,74.1,to_40,interior_exterior_same_side
x_band_3__center,1,3,4,25.0,75.0,to_40,interior_exterior_same_side
x_band_3__left_inner,2,5,7,28.6,71.4,to_40,interior_exterior_same_side
x_band_3__left_outer,3,10,13,23.1,76.9,to_40,interior_exterior_same_side
x_band_3__right_inner,3,3,6,50.0,50.0,to_40,interior_exterior_same_side
x_band_3__right_outer,0,7,7,0.0,100.0,to_40,interior_exterior_same_side
x_band_2__center,2,11,13,15.4,84.6,to_40,center_exit_pattern
x_band_2__left_inner,4,11,15,26.7,73.3,to_40,center_exit_pattern
x_band_2__right_inner,3,14,17,17.6,82.4,to_40,center_exit_pattern
x_band_3__center,2,1,3,66.7,33.3,to_40,center_exit_pattern
x_band_3__left_inner,0,1,1,0.0,100.0,to_40,center_exit_pattern
x_band_3__right_inner,2,1,3,66.7,33.3,to_40,center_exit_pattern
x_band_2__center,0,3,3,0.0,100.0,to_40,outer_inner_exit
x_band_2__left_inner,2,6,8,25.0,75.0,to_40,outer_inner_exit
x_band_2__left_outer,4,4,8,50.0,50.0,to_40,outer_inner_exit
x_band_2__right_inner,1,8,9,11.1,88.9,to_40,outer_inner_exit
x_band_2__right_outer,2,2,4,50.0,50.0,to_40,outer_inner_exit
x_band_3__center,2,1,3,66.7,33.3,to_40,outer_inner_exit
x_band_3__left_inner,1,1,2,50.0,50.0,to_40,outer_inner_exit
x_band_3__left_outer,1,1,2,50.0,50.0,to_40,outer_inner_exit
x_band_3__right_inner,0,1,1,0.0,100.0,to_40,outer_inner_exit
x_band_3__right_outer,0,2,2,0.0,100.0,to_40,outer_inner_exit
x_band_2__left_inner,3,2,5,60.0,40.0,to_40,interior_exterior_opposite_side
x_band_2__left_outer,4,10,14,28.6,71.4,to_40,interior_exterior_opposite_side
x_band_2__right_inner,0,1,1,0.0,100.0,to_40,interior_exterior_opposite_side
x_band_2__right_outer,2,10,12,16.7,83.3,to_40,interior_exterior_opposite_side
x_band_3__center,1,2,3,33.3,66.7,to_40,interior_exterior_opposite_side
x_band_3__left_inner,0,2,2,0.0,100.0,to_40,interior_exterior_opposite_side
x_band_3__left_outer,0,6,6,0.0,100.0,to_40,interior_exterior_opposite_side
x_band_3__right_inner,1,1,2,50.0,50.0,to_40,interior_exterior_opposite_side
x_band_3__right_outer,2,2,4,50.0,50.0,to_40,interior_exterior_opposite_side
x_band_2__center,0,1,1,0.0,100.0,to_40,switch_of_play
x_band_2__left_outer,1,4,5,20.0,80.0,to_40,switch_of_play
x_band_2__right_inner,0,1,1,0.0,100.0,to_40,switch_of_play
x_band_2__right_outer,1,3,4,25.0,75.0,to_40,switch_of_play
x_band_3__center,0,1,1,0.0,100.0,to_40,switch_of_play
x_band_3__left_inner,0,5,5,0.0,100.0,to_40,switch_of_play
x_band_3__left_outer,0,1,1,0.0,100.0,to_40,switch_of_play
x_band_3__right_outer,1,6,7,14.3,85.7,to_40,switch_of_play
